Brand,Sneaker Name,Sneaker,Retail Price,Avg Price Premium,Avg Sale Price,Sales
Off-White,Nike-Air-Presto-Off-White-White-2018,Nike Air Presto Off-White White 2018,160,296.5,634.39,1883
Off-White,Nike-Blazer-Mid-Off-White-Grim-Reaper,Nike Blazer Mid Off-White Grim Reaper,130,306.8,528.82,1398
Off-White,Nike-Air-Force-1-Low-Off-White,Nike Air Force 1 Low Off-White,170,322.0,717.46,476
Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red,Adidas Yeezy Boost 350 V2 Core Black Red,220,326.3,937.75,302
Off-White,Nike-Air-Max-90-Off-White,Nike Air Max 90 Off-White,160,343.7,709.92,627
Yeezy,Adidas-Yeezy-Boost-350-Low-Pirate-Black-2015,Adidas Yeezy Boost 350 Low Pirate Black 2015,200,347.5,895.09,95
Off-White,Air-Jordan-1-Retro-High-Off-White-University-Blue,Air Jordan 1 Retro High Off-White University Blue,190,347.8,850.85,4635
Off-White,Nike-Air-Presto-Off-White-Black-2018,Nike Air Presto Off-White Black 2018,160,356.5,730.47,1884
Off-White,Nike-Blazer-Mid-Off-White-All-Hallows-Eve,Nike Blazer Mid Off-White All Hallows Eve,130,366.3,606.18,1435
Off-White,Nike-Air-Max-97-Off-White-Elemental-Rose-Queen,Nike Air Max 97 Off-White Elemental Rose Queen,190,370.4,893.78,216
Yeezy,Adidas-Yeezy-Boost-350-Low-Pirate-Black-2016,Adidas Yeezy Boost 350 Low Pirate Black 2016,200,392.1,984.24,122
Yeezy,Adidas-Yeezy-Boost-350-Low-Moonrock,Adidas Yeezy Boost 350 Low Moonrock,200,398.4,996.71,100
Yeezy,Adidas-Yeezy-Boost-350-Low-Oxford-Tan,Adidas Yeezy Boost 350 Low Oxford Tan,200,405.8,1011.51,70
Off-White,Nike-Blazer-Mid-Off-White,Nike Blazer Mid Off-White,130,435.0,695.48,501
Off-White,Nike-Blazer-Mid-Off-White-Wolf-Grey,Nike Blazer Mid Off-White Wolf Grey,130,503.7,784.82,288
Off-White,Nike-Air-Force-1-Low-Virgil-Abloh-Off-White-AF100,Nike Air Force 1 Low Virgil Abloh Off-White AF100,150,550.3,975.52,31
Yeezy,Adidas-Yeezy-Boost-350-Low-Turtledove,Adidas Yeezy Boost 350 Low Turtledove,200,665.8,1531.66,68
Off-White,Nike-Air-Presto-Off-White,Nike Air Presto Off-White,160,672.5,1236.06,596
Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,Air Jordan 1 Retro High Off-White Chicago,190,831.5,1769.8,755
Off-White,Air-Jordan-1-Retro-High-Off-White-White,Air Jordan 1 Retro High Off-White White,190,861.1,1826.07,313
